Severity,Noise Aug Temperature(F),Noise Aug Wind_Chill(F),Noise Aug Humidity(%),Noise Aug Pressure(in),Noise Aug Wind_Speed(mph),Aug Sunrise_Sunset,Aug Civil_Twilight,Aug Nautical_Twilight,Aug Astronomical_Twilight
2,82.48357076505616,70.46096221061305,65.42959320883456,29.956714153011234,-1.907807557877391,Night,Night,Day,Day
2,22.308678494144075,18.69807494610249,81.84534583131105,28.991735698828816,2.1396149892204983,Day,Day,Day,Night
2,73.23844269050346,67.93197233289177,95.28969908212878,29.467688538100692,6.586394466578356,Day,Day,Day,Night
3,73.61514928204012,75.43843828670096,87.26002090629432,30.713029856408028,14.88768765734019,Day,Day,Day,Day
2,77.82923312638331,81.78276562266879,88.92924844644406,29.775846625276664,0.5565531245337582,Night,Day,Day,Night
2,68.8293152152541,63.32259215450054,82.18577243165691,29.75586304305082,4.664518430900109,Day,Day,Day,Day
2,61.896064077536955,56.43018144708819,60.394204806471485,30.53921281550739,8.486036289417637,Night,Day,Day,Day
2,80.83717364576455,69.26348005530818,74.07187146615203,30.12743472915291,-1.5473039889383655,Day,Night,Day,Day
2,7.652628070325239,-1.0865447305646336,75.7003392324758,29.63052561406505,16.082691053887075,Day,Day,Day,Night
2,50.712800217929825,42.64437674091061,71.81454933192481,29.222560043585965,7.528875348182122,Day,Day,Day,Day
2,66.68291153593769,68.53181905630414,92.70639786447686,28.716582307187537,2.906363811260829,Day,Day,Day,Day
2,84.67135123214871,93.62898323771095,59.23268253470356,28.454270246429743,14.325796647542191,Night,Day,Night,Day
2,56.20981135783017,48.56418215707875,57.998052092013914,30.291962271566035,1.71283643141575,Night,Day,Day,Day
2,50.43359877671101,53.014409074435044,60.47089773760738,22.316719755342202,3.6028818148870085,Day,Day,Day,Night
2,19.375410837434835,14.082003368269977,74.3950157169638,27.455082167486967,14.416400673653996,Night,Day,Day,Day
2,82.18856235379513,90.19189425509659,58.69345210151446,29.477712470759027,21.038378851019317,Day,Night,Day,Day
3,71.93584439832789,69.4032696226158,71.89281086995831,28.507168879665574,10.480653924523157,Day,Night,Day,Day
2,59.57123666297637,43.839222009447155,41.97166731669117,30.01424733259527,11.16784440188943,Night,Day,Day,Night
2,56.45987962239394,58.744205707955004,75.26329886689247,27.80197592447879,-0.4511588584089988,Night,Day,Day,Day
2,84.93848149332354,94.7587039995546,38.819627115277854,28.27769629866471,7.55174079991092,Night,Day,Day,Day
2,27.32824384460777,16.001308748694147,72.24725472965036,31.325648768921553,9.200261749738829,Night,Day,Day,Night
2,61.87111849756732,60.68419318957301,98.99614096469664,28.564223699513462,2.536838637914601,Night,Day,Day,Day
2,66.33764102343962,63.94286696441999,45.460919993003436,29.917528204687926,13.588573392883998,Night,Day,Day,Day
2,53.87625906893272,66.76950367127874,44.62439285872477,28.415251813786544,14.153900734255748,Day,Day,Day,Day
2,57.27808637737409,50.6512915015229,86.41119552991302,29.41561727547482,20.13025830030458,Night,Day,Day,Night
2,54.554612948549334,52.05739612408495,58.58289256006232,30.050922589709867,5.611479224816991,Day,Night,Day,Day
2,56.24503211288849,62.952119449625286,72.35757967790519,28.959006422577698,3.1904238899250577,Day,Day,Night,Day
2,52.87849009172836,53.24609360642517,17.467329849048006,30.155698018345674,14.449218721285034,Day,Night,Day,Night
2,53.99680655040598,54.450966534045584,47.172220542617474,29.439361310081193,5.490193306809117,Night,Day,Day,Night
2,74.54153125103362,76.1722050585292,91.06442364689926,29.648306250206723,5.034441011705841,Day,Day,Day,Night
2,69.99146693885301,60.55836323293505,78.83038520470356,28.528293387770603,5.5116726465870105,Night,Day,Day,Day
3,59.26139092254469,46.708757938330756,90.8758432623718,31.572278184508935,6.341751587666152,Day,Day,Day,Day
2,71.93251387631032,74.26754356277233,37.51249848064645,29.936502775262067,9.453508712554468,Night,Day,Day,Night
2,50.7114453552205,51.0885298287266,27.54625568223868,28.6022890710441,8.017705965745321,Day,Night,Night,Day
2,71.11272456051594,67.29492110794799,85.86586711609328,30.48254491210319,7.058984221589597,Day,Night,Day,Day
2,76.89578175014489,85.23436250401349,63.34668580857674,28.12915635002898,5.446872500802698,Day,Day,Day,Day
